cid,cmpdname,canonicalsmiles,sensitizer
2675,"7-[[2-(2-Amino-1,3-thiazol-4-yl)-2-(carboxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O,1
2713,Nolvasan,C1=CC(=CC=C1NC(=NC(=NCCCCCCN=C(N)N=C(N)NC2=CC=C(C=C2)Cl)N)N)Cl,1
2720,Chlorothiazide,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2,1
2723,Chloroxylenol,CC1=CC(=CC(=C1Cl)C)O,1
2726,Chlorpromazine,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl,1
2755,Cimaterol,CC(C)NCC(C1=CC(=C(C=C1)N)C#N)O,1
2757,alpha-Quinidine,C=CC1CN2CCC1CC2C(C3=CC=NC4=CC=CC=C34)O,1
2758,Eucalyptol,CC1(C2CCC(O1)(CC2)C)C,1
2770,Platinum(II) chloride,Cl[Pt]Cl,1
2771,Citalopram,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,1
2775,"5,7-Dimethoxycoumarin",COC1=CC2=C(C=CC(=O)O2)C(=C1)OC,1
2804,Clopamide,CC1CCCC(N1NC(=O)C2=CC(=C(C=C2)Cl)S(=O)(=O)N)C,1
2808,D-Cloprostenol,C1C(C(C(C1O)C=CC(COC2=CC(=CC=C2)Cl)O)CC=CCCCC(=O)O)O,1
2826,Methyl 3-(benzoyloxy)-8-methyl-8-azabicyclo[3.2.1]octane-2-carboxylate,CN1C2CCC1C(C(C2)OC(=O)C3=CC=CC=C3)C(=O)OC,1
2906,Cyclopentylamine,C1CCC(C1)N,1
2912,Cypermethrin,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,1
2973,Deferoxamine,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,1
2998,Nonivamide,CCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,1
3017,Diazinon,CCOP(=S)(OCC)OC1=NC(=NC(=C1)C)C(C)C,1
3026,Dibutyl Phthalate,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,1
3037,Dichlorophene,C1=CC(=C(C=C1Cl)CC2=C(C=CC(=C2)Cl)O)O,1
3039,Dichlorvos,COP(=O)(OC)OC=C(Cl)Cl,1
3080,Dimercaprol,C(C(CS)S)O,1
3082,Dimethoate,CNC(=O)CSP(=S)(OC)OC,1
3117,Disulfiram,CCN(CC)C(=S)SSC(=S)N(CC)CC,1
3159,"1-(5-Deoxypentofuranosyl)-5-fluoropyrimidine-2,4(1h,3h)-dione",CC1C(C(C(O1)N2C=C(C(=O)NC2=O)F)O)O,1
3256,"butanedioic acid O4-[4-(dimethylamino)-2-[[14-ethyl-7,12,13-trihydroxy-4-[(5-hydroxy-4-methoxy-4,6-dimethyl-2-oxanyl)oxy]-3,5,7,9,11,13-hexamethyl-2,10-dioxo-oxacyclotetradec-6-yl]oxy]-6-methyl-3-oxanyl] ester O1-ethyl ester",CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)OC(=O)CCC(=O)OCC)(C)O)C)C)O)(C)O,1
3289,Ethoprophos,CCCSP(=O)(OCC)SCCC,1
3293,Ethoxyquin,CCOC1=CC2=C(C=C1)NC(C=C2C)(C)C,1
3301,Ethylenediamine,C(CN)N,1
3314,Eugenol,COC1=C(C=CC(=C1)CC=C)O,1
3327,Farnesol,CC(=CCCC(=CCCC(=CCO)C)C)C,1
3330,Carbonyl cyanide p-trifluoromethoxyphenylhydrazone,C1=CC(=CC=C1NN=C(C#N)C#N)OC(F)(F)F,1
3331,Felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,1
3345,Fentanyl,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3,1
3347,Fenvalerate,CC(C)C(C1=CC=C(C=C1)Cl)C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3,1
3374,Flumequine,CC1CCC2=C3N1C=C(C(=O)C3=CC(=C2)F)C(=O)O,1
3388,Fluphenazine Decanoate,CCCCCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,1
3389,Fluphenazine Enanthate,CCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F,1
3399,"6,9-Difluoro-17-{[(fluoromethyl)sulfanyl]carbonyl}-11-hydroxy-16-methyl-3-oxoandrosta-1,4-dien-17-yl propanoate",CCC(=O)OC1(C(CC2C1(CC(C3(C2CC(C4=CC(=O)C=CC43C)F)F)O)C)C)C(=O)SCF,1
3425,"7-Ethylidene-4,21-di(propan-2-yl)-2-oxa-12,13-dithia-5,8,20,23-tetrazabicyclo[8.7.6]tricos-16-ene-3,6,9,19,22-pentone",CC=C1C(=O)NC(C(=O)OC2CC(=O)NC(C(=O)NC(CSSCCC=C2)C(=O)N1)C(C)C)C(C)C,1
3463,Gemfibrozil,CC1=CC(=C(C=C1)C)OCCCC(C)(C)C(=O)O,1
3467,Gentamicin,CC(C1CCC(C(O1)OC2C(CC(C(C2O)OC3C(C(C(CO3)(C)O)NC)O)N)N)N)NC,1
3485,Glutaral,C(CC=O)CC=O,1
3559,Haloperidol,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,1
3614,1-Methylhistamine,CN1C=C(N=C1)CCN,1
3637,Hydralazine,C1=CC=C2C(=C1)C=NN=C2NN,1
3639,Hydrochlorothiazide,C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,1
3647,Hydroflumethiazide,C1NC2=C(C=C(C(=C2)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N1,1
3659,Destomysin,CNC1CC(C(C(C1O)OC2C3C(C(C(O2)CO)O)OC4(O3)C(C(C(C(O4)C(CO)N)O)O)O)O)N,1
3663,Hypericin,CC1=CC(=O)C2=C(C3=C(C=C(C4=C3C5=C2C1=C6C(=CC(=O)C7=C(C8=C(C=C(C4=C8C5=C67)O)O)O)C)O)O)O,1
3676,Lidocaine,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,1
3680,Dexamethasone-21-acetate,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COC(=O)C)O)C)O)F)C,1
3715,Indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,1
3727,Iodoacetamide,C(C(=O)N)I,1
3936,Liranaftate,CN(C1=NC(=CC=C1)OC)C(=S)OC2=CC3=C(CCCC3)C=C2,1
3957,Loratadine,CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1,1
3961,Losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,1
4004,Malathion,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,1
4016,H-DL-xiIle-DL-Asn-DL-Leu-DL-Lys-DL-Ala-DL-Leu-DL-Ala-DL-Ala-DL-Leu-DL-Ala-DL-Lys-DL-Lys-DL-xiIle-DL-Leu-NH2,CCC(C)C(C(=O)NC(CC(=O)N)C(=O)NC(CC(C)C)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C)C(=O)NC(CCCCN)C(=O)NC(CCCCN)C(=O)NC(C(C)CC)C(=O)NC(CC(C)C)C(=O)N)N,1
4021,Edaravone,CC1=NN(C(=O)C1)C2=CC=CC=C2,1
4055,Menadione,CC1=CC(=O)C2=CC=CC=C2C1=O,1
4058,Meperidine,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,1
4066,Mequitazine,C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53,1
4075,Mesalamine,C1=CC(=C(C=C1N)C(=O)O)O,1
4101,Methenamine,C1N2CN3CN1CN(C2)C3,1
4107,Methocarbamol,COC1=CC=CC=C1OCC(COC(=O)N)O,1
4114,Methoxsalen,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,1
4133,Methyl Salicylate,COC(=O)C1=CC=CC=C1O,1
4141,5-Methylfurmethide,CC1=CC=C(O1)C[N+](C)(C)C,1
4156,Methyl Methanesulfonate,COS(=O)(=O)C,1
4162,Methyprylon,CCC1(C(=O)C(CNC1=O)C)CC,1
4169,Metolachlor,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,1
4179,CID 4179,CC1C(C2(C3C4C1(C5C=C(C(=O)C5(C(C6(C4O6)CO)O)O)C)OC(O3)(O2)C7=CC=CC=C7)C(=C)C)OC(=O)C=CC=CC8=CC=CC=C8,1
4192,Midazolam,CC1=NC=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4F,1
4243,Rumensin,CCC1(CCC(O1)C2(CCC3(O2)CC(C(C(O3)C(C)C(C(C)C(=O)O)OC)C)O)C)C4C(CC(O4)C5C(CC(C(O5)(CO)O)C)C)C,1
4362,Ethylmaleimide,CCN1C(=O)C=CC1=O,1
4420,Naled,COP(=O)(OC)OC(C(Cl)(Cl)Br)Br,1
4421,Nalidixic Acid,CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O,1
4458,"3,7-Dimethyl-2,6-octadien-1-ol",CC(=CCCC(=CCO)C)C,1
4509,"1-[(5-Nitro-2-furanyl)methylideneamino]imidazolidine-2,4-dione",C1C(=O)NC(=O)N1N=CC2=CC=C(O2)[N+](=O)[O-],1
4510,Nitroglycerin,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],1
4583,Ofloxacin,CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,1
4594,Omeprazole,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC,1
4610,"1,2-Cyclohexanediamine",C1CCC(C(C1)N)N,1
4632,Oxybenzone,COC1=CC(=C(C=C1)C(=O)C2=CC=CC=C2)O,1
4650,Quinone,C1=CC(=O)C=CC1=O,1
4652,Fenclonine,C1=CC(=CC=C1CC(C(=O)O)N)Cl,1
4685,"1,4-Dichlorobenzene",C1=CC(=CC=C1Cl)Cl,1
4692,"4,8-Dimethyl-12-methylidene-3,14-dioxatricyclo[9.3.0.02,4]tetradec-7-en-13-one",CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C,1
4747,Periciazine,C1CN(CCC1O)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C#N,1
4748,Perphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,1
4760,Phenindione,C1=CC=C(C=C1)C2C(=O)C3=CC=CC=C3C2=O,1
4763,Phenobarbital,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,1
4764,Phenolphthalein,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,1
4781,Phenylbutazone,CCCCC1C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3,1
4782,3-[1-Hydroxy-2-(methylamino)ethyl]phenol,CNCC(C1=CC(=CC=C1)O)O,1
4787,"4-oxo-5,5-diphenyl-4,5-dihydro-1H-imidazol-2-olate",C1=CC=C(C=C1)C2(C(=O)NC(=N2)[O-])C3=CC=CC=C3,1
4793,Phosalone,CCOP(=S)(OCC)SCN1C2=C(C=C(C=C2)Cl)OC1=O,1
4794,Glufosinate,CP(=O)(CCC(C(=O)O)N)O,1
4807,o-Phthalaldehyde,C1=CC=C(C(=C1)C=O)C=O,1
4812,"2-Methyl-3-(3,7,11,15-tetramethylhexadec-2-enyl)-1,4-naphthoquinone",CC1=C(C(=O)C2=CC=CC=C2C1=O)CC=C(C)CCCC(C)CCCC(C)CCCC(C)C,1
4825,Pimpinellin,COC1=C(C2=C(C=CO2)C3=C1C=CC(=O)O3)OC,1
4831,Pipemidic Acid,CCN1C=C(C(=O)C2=CN=C(N=C21)N3CCNCC3)C(=O)O,1
4837,Piperazine,C1CNCCN1,1
4875,Potassium Iodide,[K+].[I-],1
4926,Promazine,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,1
4927,Promethazine,CC(CN1C2=CC=CC=C2SC3=CC=CC=C31)N(C)C,1
4931,Propachlor,CC(C)N(C1=CC=CC=C1)C(=O)CCl,1
4936,Propargite,CC(C)(C)C1=CC=C(C=C1)OC2CCCCC2OS(=O)OCC#C,1
4940,Propiomazine,CCC(=O)C1=CC2=C(C=C1)SC3=CC=CC=C3N2CC(C)N(C)C,1
4947,Propyl Gallate,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,1
5054,Resorcinol,C1=CC(=CC(=C1)O)O,1
5055,Resorcinol Monoacetate,CC(=O)OC1=CC=CC(=C1)O,1
5152,Salmeterol,C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O,1
5199,Sennoside,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,1
5213,Silymarin,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,1
5215,Sulfadiazine,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N,1
5216,Simazine,CCNC1=NC(=NC(=N1)Cl)NCC,1
5266,Spiramycin I,CC1CC=CC=CC(C(CC(C(C(C(CC(=O)O1)O)OC)OC2C(C(C(C(O2)C)OC3CC(C(C(O3)C)O)(C)O)N(C)C)O)CC=O)C)OC4CCC(C(O4)C)N(C)C,1
5315,Succinylsulfathiazole,C1=CC(=CC=C1NC(=O)CCC(=O)O)S(=O)(=O)NC2=NC=CS2,1
5320,Sulfacetamide,CC(=O)NS(=O)(=O)C1=CC=C(C=C1)N,1
5323,Sulfadimethoxine,COC1=NC(=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N)OC,1
5328,Sulfamethizole,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,1
5329,Sulfamethoxazole,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N,1
5330,Sulfamethoxypyridazine,COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N,1
5332,Sulfamonomethoxine,COC1=NC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,1
5336,Sulfapyridine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N,1
5338,Sulfaquinoxaline,C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N,1
5339,Sulfasalazine,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,1
5352,2-[6-Fluoro-2-methyl-3-[(4-methylsulfinylphenyl)methylidene]inden-1-yl]acetic acid,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,1
5383,Tebuthiuron,CC(C)(C)C1=NN=C(S1)N(C)C(=O)NC,1
5411,Tetracaine,CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C,1
5431,Thiamin Diphosphate,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)OP(=O)(O)[O-],1
5455,Thiram,CN(C)C(=S)SSC(=S)N(C)C,1
5482,Tioconazole,C1=CC(=C(C=C1Cl)Cl)C(CN2C=CN=C2)OCC3=C(SC=C3)Cl,1
